Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
15,4210719,3,PLATE 1X1,Dark Stone Grey,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,,,3024 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210719
16,4211061,1,PLATE 4X8,Dark Stone Grey,3035,Plate 4 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.46,2022,,,,3035 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211061
17,4210794,1,PLATE 6X8,Dark Stone Grey,3036,Plate 6 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.67,2022,,,,3036 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210794
18,4210848,8,FLAT TILE 1X1,Dark Stone Grey,3070,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3070 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210848
19,4211052,3,FLAT TILE 1X2,Dark Stone Grey,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,,,3069 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211052
20,4568734,2,FLAT TILE 1x3,Dark Stone Grey,63864,Tile 1 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,,,,63864 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4568734
21,4211053,1,FLAT TILE 1X4,Dark Stone Grey,2431,Tile 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,,,2431 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211053
22,4211008,1,FLAT TILE 1X8,Dark Stone Grey,4162,Tile 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,5210651,,4162 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211008
23,6057986,4,BRICK 1X1,Medium Nougat,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,,4569624,3005 / Medium Nougat,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6057986
24,4569382,3,BRICK 1X2,Medium Nougat,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,,,3004 / Medium Nougat,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4569382
25,6284589,1,"FLAT TILE 1X1, ROUND",Medium Nougat,35381,Tile Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.04,2022,,,6055383,98138 / Medium Nougat,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6284589
26,4211242,4,BRICK 1X1,Reddish Brown,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,,,3005 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211242
27,4211149,5,BRICK 1X2,Reddish Brown,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,4613963,,3004 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211149
28,4211181,3,PALISADE BRICK 1X4,Reddish Brown,30137,Brick 1 x 4 Log,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.19,2022,,,,30137 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211181
29,4211210,1,BRICK 2X2,Reddish Brown,3003,Brick 2 x 2,On Pick a Brick (late-2025 listing),0.13,late 2025,,,,3003 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211210
30,4221744,1,PLATE 1X1,Reddish Brown,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,,,3024 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4221744
31,4216581,1,ROUND PLATE 1X1,Reddish Brown,6141,Plate Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,4073 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4216581
32,6244796,3,ANGULAR BRICK 1X1,Transparent,35388,Brick 1 x 1 with Headlight,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,6514231,4215618,4070 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6244796
33,6244904,3,BRICK 1X2 W/O PIN,Transparent,35743,Brick 1 x 2 without Bottom Tube,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.12,2022,,6514262,306510 306540,3065 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6244904
34,6223655,3,ROUND BRICK 1X1,Transparent,35390,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,6514232,3006840 306210 306240 6012880,3062 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6223655
35,6245269,8,WALL ELEMENT 1X4X3,Transparent,35323,Panel 1 x 4 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.38,2022,,6514156,4594686 6344088,60581 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6245269
36,6240204,12,PLATE 1X2,Transparent,28653,Plate 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.1,2022,yes,6514001,302310 4167842 622540,3023 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6240204
37,6254254,12,FLAT TILE 1X1,Transparent,35403,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,6581822,4162145 6047501,3070 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6254254
38,6274738,4,"FLAT TILE 1X1, ROUND",Transparent,35380,Tile Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.04,2022,,6514191,4650498,98138 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6274738
39,614101,2,ROUND PLATE 1X1,White,6141,Plate Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,6601919,,4073 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=614101
